Chromosome,UniqueID,Gene Symbol,Sum of Exon Length of Gene,CD33Low_A,CD33Low_B,EpiDC_A,EpiDC_B,EpiDC_C,LCs_A,LCs_B,LCs_C,cDC2_A,cDC2_B,cDC2Lang_A,cDC2_C,cDC2Lang_B,cDC2Lang_C,cDC1_A,cDC1_B2,cDC1_C,MDDC_A,MDDC_B,MDDC_C,MDM_A,MDM_B,MDM_C,Mf_A,Mf_B,Mf_C
chr11,WT1_2371,WT1,3314,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
chr11,WTAPP1_2372,WTAPP1,2642,0.0,0.0,0.0,4.0,0.0,1.0,42.0,0.0,6.0,0.0,16.0,0.0,0.0,21.0,141.0,0.0,22.0,3.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,34.0
chr11,XRRA1_2373,XRRA1,5025,0.0,0.0,0.0,23.0,0.0,0.0,105.0,97.0,0.0,22.0,0.0,7.0,238.0,0.0,0.0,157.0,25.0,0.0,0.0,22.0,28.0,39.0,0.0,9.0,45.0,1.0
chr11,YAP1_2374,YAP1,5692,0.0,0.0,3.0,47.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0
chr11,YIF1A_2375,YIF1A,1121,308.0,1082.0,51.0,446.0,1.0,236.0,1060.0,1649.0,357.0,774.0,327.0,424.0,662.0,970.0,1.0,0.0,731.0,276.0,544.0,224.0,502.0,466.0,872.0,84.0,452.0,170.0
chr11,YPEL4_2376,YPEL4,1722,8.0,0.0,0.0,45.0,0.0,74.0,273.0,506.0,33.0,125.0,31.0,162.0,45.0,33.0,0.0,0.0,115.0,111.0,173.0,27.0,20.0,175.0,0.0,33.0,48.0,95.0
chr11,ZBED5_2377,ZBED5,2741,0.0,0.0,0.0,77.0,0.0,69.0,110.0,67.0,56.0,112.0,1.0,1.0,377.0,254.0,0.0,0.0,181.0,94.0,488.0,56.0,226.0,339.0,4.0,39.0,297.0,42.0
chr11,ZBTB16_2378,ZBTB16,2425,189.0,667.0,567.0,1493.0,0.0,97.0,279.0,173.0,1559.0,5651.0,900.0,446.0,3422.0,879.0,0.0,2.0,137.0,1268.0,6426.0,508.0,3554.0,6509.0,2599.0,1011.0,8962.0,2083.0
chr11,ZBTB3_2379,ZBTB3,2974,273.0,69.0,238.0,339.0,342.0,213.0,236.0,213.0,250.0,613.0,286.0,245.0,380.0,220.0,142.0,308.0,599.0,246.0,672.0,369.0,215.0,558.0,371.0,426.0,507.0,325.0
chr11,ZBTB44_2380,ZBTB44,9340,18.0,30.0,6.0,141.0,0.0,66.0,85.0,85.0,1.0,1.0,0.0,44.0,214.0,1.0,0.0,1.0,112.0,239.0,252.0,86.0,9.0,106.0,400.0,39.0,197.0,285.0
chr11,ZC3H12C_2381,ZC3H12C,8807,244.0,987.0,99.0,1691.0,1.0,2243.0,1917.0,1648.0,643.0,916.0,434.0,223.0,1577.0,61.0,6.0,125.0,179.0,1004.0,774.0,636.0,539.0,107.0,295.0,425.0,206.0,1792.0
chr11,ZDHHC13_2382,ZDHHC13,2434,13.0,0.0,0.0,40.0,0.0,153.0,97.0,122.0,117.0,242.0,0.0,374.0,358.0,363.0,0.0,0.0,779.0,0.0,507.0,356.0,0.0,280.0,1.0,4.0,170.0,246.0
chr11,ZDHHC24_2383,ZDHHC24,1317,0.0,0.0,1.0,190.0,0.0,67.0,208.0,245.0,53.0,207.0,429.0,142.0,233.0,46.0,0.0,245.0,137.0,0.0,224.0,8.0,273.0,355.0,175.0,98.0,606.0,244.0
chr11,ZDHHC5_2384,ZDHHC5,4560,129.0,198.0,2.0,360.0,0.0,203.0,1033.0,610.0,194.0,229.0,0.0,648.0,197.0,215.0,0.0,43.0,468.0,342.0,1221.0,68.0,322.0,909.0,179.0,145.0,937.0,318.0
chr11,ZFP91_2385,ZFP91,5725,564.0,2081.0,182.0,801.0,18.0,818.0,807.0,1138.0,622.0,720.0,38.0,1492.0,556.0,1829.0,0.0,19.0,1189.0,1470.0,922.0,1096.0,1042.0,701.0,656.0,935.0,806.0,1601.0
chr11,ZFP91-CNTF_2386,ZFP91-CNTF,3543,51.0,52.0,119.0,325.0,1.0,306.0,284.0,410.0,144.0,251.0,37.0,799.0,43.0,693.0,0.0,1.0,662.0,468.0,211.0,736.0,190.0,220.0,472.0,437.0,342.0,662.0
chr11,ZFPL1_2387,ZFPL1,1386,17.0,0.0,0.0,107.0,0.0,17.0,110.0,172.0,65.0,324.0,163.0,169.0,352.0,301.0,0.0,0.0,443.0,27.0,118.0,211.0,229.0,127.0,123.0,101.0,541.0,268.0
chr11,ZNF143_2388,ZNF143,2947,2.0,0.0,26.0,103.0,1.0,198.0,481.0,228.0,461.0,123.0,831.0,1634.0,236.0,2646.0,0.0,214.0,983.0,4.0,487.0,259.0,388.0,869.0,108.0,495.0,289.0,570.0
chr11,ZNF195_2389,ZNF195,3703,17.0,9.0,25.0,22.0,5.0,485.0,47.0,151.0,231.0,173.0,11.0,63.0,306.0,243.0,3.0,104.0,466.0,57.0,217.0,23.0,14.0,250.0,60.0,152.0,143.0,208.0
chr11,ZNF202_2390,ZNF202,4055,3.0,0.0,0.0,0.0,0.0,0.0,307.0,120.0,0.0,56.0,0.0,83.0,0.0,0.0,0.0,0.0,94.0,147.0,0.0,201.0,287.0,361.0,825.0,1.0,92.0,11.0
chr11,ZNF214_2391,ZNF214,2668,55.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr11,ZNF215_2392,ZNF215,3658,689.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,48.0,45.0,0.0,47.0,148.0,0.0,17.0,86.0,0.0,0.0,19.0
chr11,ZNF259_2393,ZNF259,1778,191.0,162.0,15.0,974.0,1727.0,989.0,1448.0,2007.0,398.0,1032.0,816.0,2386.0,268.0,2626.0,0.0,262.0,2364.0,1088.0,588.0,1235.0,703.0,471.0,1263.0,449.0,358.0,1510.0
chr11,ZNF408_2394,ZNF408,2497,1.0,0.0,0.0,4.0,22.0,90.0,66.0,243.0,293.0,418.0,0.0,174.0,204.0,170.0,0.0,0.0,361.0,0.0,103.0,4.0,0.0,2.0,5.0,27.0,241.0,201.0
chr11,ZNHIT2_2395,ZNHIT2,1296,0.0,0.0,0.0,48.0,1.0,71.0,70.0,38.0,51.0,72.0,0.0,188.0,0.0,115.0,0.0,109.0,30.0,0.0,122.0,0.0,0.0,227.0,0.0,31.0,63.0,75.0
chr11,ZP1_2396,ZP1,1972,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr11,ZW10_2397,ZW10,2948,0.0,0.0,0.0,133.0,1.0,104.0,91.0,256.0,175.0,204.0,0.0,447.0,210.0,121.0,0.0,1.0,752.0,236.0,326.0,61.0,180.0,221.0,382.0,85.0,1.0,187.0
chr12,A2M-AS1_2398,A2M-AS1,2187,0.0,0.0,11.0,62.0,141.0,0.0,23.0,1.0,19.0,45.0,27.0,9.0,54.0,41.0,304.0,0.0,50.0,50.0,132.0,25.0,75.0,246.0,133.0,159.0,393.0,257.0
chr12,A2M_2399,A2M,4653,0.0,0.0,94.0,4976.0,1235.0,94.0,1230.0,126.0,932.0,1170.0,1713.0,357.0,3243.0,1748.0,11758.0,1.0,913.0,2486.0,4266.0,809.0,2063.0,10068.0,2076.0,1531.0,12333.0,8361.0
chr12,A2ML1_2400,A2ML1,5363,66.0,15.0,34.0,178.0,31.0,48.0,166.0,38.0,39.0,37.0,17.0,19.0,36.0,9.0,38.0,57.0,15.0,21.0,49.0,62.0,49.0,72.0,44.0,90.0,50.0,98.0
chr12,A2MP1_2401,A2MP1,1201,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr12,AAAS_2402,AAAS,1837,389.0,0.0,0.0,314.0,0.0,237.0,638.0,758.0,213.0,721.0,0.0,332.0,195.0,280.0,0.0,0.0,541.0,224.0,477.0,137.0,471.0,574.0,192.0,215.0,415.0,326.0
chr12,AACS_2403,AACS,3321,2.0,1597.0,111.0,191.0,0.0,104.0,84.0,695.0,379.0,69.0,0.0,427.0,267.0,368.0,0.0,14.0,372.0,0.0,0.0,341.0,83.0,147.0,0.0,21.0,0.0,131.0
chr12,ABCB9_2404,ABCB9,3909,15.0,0.0,1.0,22.0,0.0,39.0,205.0,72.0,61.0,4.0,353.0,149.0,1.0,1.0,0.0,1.0,105.0,0.0,0.0,300.0,42.0,1.0,3.0,0.0,2.0,87.0
chr12,ABCC9_2405,ABCC9,8462,2302.0,528.0,2587.0,891.0,1221.0,5218.0,1076.0,1110.0,1426.0,1275.0,511.0,904.0,989.0,627.0,795.0,4086.0,1142.0,1223.0,2169.0,3834.0,1258.0,2110.0,2861.0,2670.0,2063.0,3712.0
chr12,ABCD2_2406,ABCD2,5341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
chr12,ACACB_2407,ACACB,9249,40.0,2.0,19.0,57.0,20.0,50.0,34.0,96.0,49.0,29.0,13.0,8.0,201.0,5.0,4.0,19.0,38.0,11.0,165.0,42.0,20.0,45.0,214.0,107.0,208.0,294.0
chr12,ACAD10_2408,ACAD10,4107,1.0,0.0,0.0,204.0,0.0,0.0,8.0,0.0,99.0,192.0,0.0,1.0,0.0,1.0,1.0,23.0,70.0,0.0,112.0,319.0,0.0,659.0,240.0,142.0,99.0,24.0
chr12,ACADS_2409,ACADS,1917,0.0,0.0,0.0,79.0,22.0,66.0,35.0,61.0,40.0,142.0,0.0,1.0,1.0,0.0,0.0,31.0,189.0,0.0,277.0,304.0,530.0,627.0,1.0,26.0,433.0,400.0
chr12,ACRBP_2410,ACRBP,1886,0.0,0.0,0.0,175.0,0.0,2.0,1.0,11.0,100.0,342.0,409.0,195.0,656.0,1.0,0.0,155.0,135.0,1.0,362.0,452.0,113.0,325.0,15.0,94.0,303.0,198.0
chr12,ACSM4_2411,ACSM4,1743,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0,13.0,2.0,11.0,0.0,0.0
chr12,ACSS3_2412,ACSS3,3033,3.0,0.0,7.0,4.0,4.0,4.0,46.0,5.0,4.0,9.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,4.0,2.0,1.0,3.0,2.0,4.0,4.0,3.0
chr12,ACTR6_2413,ACTR6,2478,125.0,0.0,1.0,100.0,0.0,30.0,94.0,140.0,303.0,104.0,0.0,5.0,113.0,348.0,0.0,0.0,257.0,126.0,370.0,0.0,43.0,183.0,0.0,43.0,233.0,0.0
chr12,ACVR1B_2414,ACVR1B,4807,0.0,0.0,0.0,15.0,42.0,51.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,216.0,0.0,134.0,0.0,48.0,210.0,45.0
chr12,ACVRL1_2415,ACVRL1,4404,7.0,0.0,0.0,5.0,2.0,3.0,1.0,14.0,5.0,0.0,1.0,2.0,5.0,4.0,0.0,456.0,33.0,8.0,1.0,9.0,41.0,108.0,265.0,215.0,191.0,42.0
chr12,ADAM1A_2416,ADAM1A,2840,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,37.0,11.0,3.0,132.0,0.0
chr12,ADAMTS20_2417,ADAMTS20,5733,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
chr12,ADCY6_2418,ADCY6,6698,119.0,18.0,55.0,53.0,25.0,79.0,88.0,80.0,56.0,84.0,33.0,30.0,67.0,28.0,49.0,63.0,62.0,58.0,132.0,76.0,54.0,115.0,139.0,113.0,107.0,156.0
chr12,ADIPOR2_2419,ADIPOR2,3965,0.0,7.0,403.0,217.0,0.0,42.0,345.0,251.0,220.0,178.0,196.0,170.0,188.0,627.0,0.0,158.0,378.0,226.0,123.0,889.0,302.0,419.0,443.0,328.0,718.0,424.0
chr12,AEBP2_2420,AEBP2,5807,4.0,0.0,8.0,314.0,16.0,127.0,565.0,203.0,392.0,276.0,42.0,375.0,324.0,19.0,1296.0,20.0,812.0,56.0,484.0,462.0,23.0,508.0,756.0,93.0,352.0,90.0
chr12,AGAP2_2421,AGAP2,6088,5.0,0.0,1.0,39.0,2.0,238.0,47.0,1.0,95.0,215.0,0.0,258.0,221.0,0.0,0.0,5.0,138.0,92.0,84.0,20.0,0.0,205.0,36.0,13.0,165.0,169.0
chr12,AICDA_2422,AICDA,2794,156.0,49.0,136.0,40.0,86.0,131.0,92.0,154.0,69.0,120.0,36.0,76.0,72.0,51.0,116.0,202.0,81.0,89.0,132.0,164.0,98.0,175.0,149.0,247.0,133.0,213.0
chr12,AKAP3_2423,AKAP3,3020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0
chr12,ALDH1L2_2424,ALDH1L2,7539,99.0,158.0,92.0,45.0,31.0,90.0,121.0,119.0,50.0,130.0,40.0,37.0,38.0,216.0,35.0,73.0,101.0,61.0,884.0,105.0,97.0,82.0,112.0,155.0,386.0,404.0
chr12,ALDH2_2425,ALDH2,2060,3215.0,2460.0,403.0,9322.0,6588.0,4543.0,17109.0,14640.0,3575.0,8719.0,1773.0,8093.0,8084.0,16719.0,6.0,2701.0,8488.0,2698.0,6800.0,3099.0,2341.0,4591.0,2843.0,1019.0,3357.0,3073.0
chr12,ALG10_2426,ALG10,3127,1.0,0.0,2.0,135.0,0.0,17.0,57.0,70.0,46.0,32.0,0.0,49.0,100.0,0.0,0.0,0.0,14.0,0.0,162.0,0.0,160.0,10.0,0.0,1.0,213.0,132.0
chr12,ALG10B_2427,ALG10B,10074,13.0,5.0,11.0,79.0,5.0,24.0,153.0,88.0,116.0,48.0,5.0,29.0,354.0,5.0,5.0,16.0,32.0,8.0,285.0,22.0,83.0,85.0,46.0,31.0,113.0,101.0
chr12,ALKBH2_2428,ALKBH2,1197,0.0,30.0,0.0,17.0,0.0,0.0,120.0,25.0,0.0,0.0,0.0,69.0,11.0,1.0,0.0,0.0,21.0,0.0,112.0,0.0,0.0,411.0,0.0,29.0,25.0,0.0
chr12,AMDHD1_2430,AMDHD1,2136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0
chr12,AMHR2_2431,AMHR2,1863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr12,AMIGO2_2432,AMIGO2,3951,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,67.0,0.0,0.0,142.0,0.0,124.0,24.0,0.0,23.0,80.0
chr12,AMN1_2433,AMN1,2110,0.0,0.0,0.0,0.0,0.0,0.0,87.0,5.0,0.0,90.0,0.0,75.0,1.0,0.0,0.0,0.0,34.0,159.0,283.0,11.0,0.0,119.0,5.0,6.0,85.0,79.0
chr12,ANAPC5_2434,ANAPC5,2732,1073.0,4968.0,0.0,879.0,3.0,462.0,1788.0,1085.0,566.0,1798.0,0.0,489.0,1103.0,437.0,2599.0,586.0,1846.0,531.0,1603.0,294.0,658.0,1494.0,262.0,473.0,1852.0,1515.0
chr12,ANAPC7_2435,ANAPC7,3644,0.0,0.0,2.0,124.0,963.0,364.0,263.0,125.0,35.0,183.0,0.0,304.0,83.0,386.0,0.0,0.0,370.0,389.0,594.0,0.0,142.0,209.0,10.0,22.0,421.0,22.0
chr12,ANHX_2436,ANHX,1765,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr12,ANKLE2_2437,ANKLE2,4458,104.0,2750.0,242.0,541.0,501.0,925.0,2803.0,2680.0,1098.0,955.0,133.0,2033.0,891.0,9633.0,0.0,652.0,1684.0,1096.0,1236.0,2993.0,406.0,486.0,1267.0,298.0,552.0,2185.0
chr12,ANKRD13A_2438,ANKRD13A,3908,0.0,0.0,4.0,440.0,31.0,419.0,1009.0,236.0,421.0,281.0,0.0,184.0,261.0,548.0,0.0,7.0,473.0,115.0,680.0,39.0,32.0,1107.0,134.0,325.0,927.0,412.0
chr12,ANKRD33_2439,ANKRD33,1983,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr12,ANKRD52_2440,ANKRD52,8656,0.0,0.0,0.0,341.0,0.0,244.0,369.0,147.0,83.0,124.0,2.0,69.0,189.0,399.0,0.0,0.0,209.0,0.0,287.0,250.0,179.0,490.0,1.0,82.0,225.0,126.0
chr12,ANKS1B_2441,ANKS1B,7752,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
chr12,ANO2_2442,ANO2,3717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr12,ANO4_2443,ANO4,4120,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr12,ANO6_2444,ANO6,7153,29.0,1.0,65.0,590.0,498.0,634.0,1516.0,722.0,129.0,583.0,14.0,630.0,564.0,4038.0,6061.0,20.0,470.0,652.0,1068.0,1228.0,491.0,1128.0,915.0,354.0,849.0,1134.0
chr12,ANP32D_2445,ANP32D,396,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,5.0,0.0,2.0,4.0,0.0
chr12,APAF1_2446,APAF1,7191,1000.0,45.0,127.0,407.0,38.0,337.0,334.0,431.0,431.0,627.0,173.0,471.0,647.0,846.0,45.0,223.0,611.0,38.0,474.0,302.0,443.0,579.0,229.0,288.0,458.0,293.0
chr12,APOF_2448,APOF,1689,1.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0
chr12,APOLD1_2449,APOLD1,4825,42.0,10.0,29.0,152.0,40.0,53.0,78.0,61.0,53.0,87.0,26.0,24.0,41.0,24.0,7190.0,60.0,167.0,38.0,93.0,70.0,40.0,69.0,64.0,111.0,59.0,86.0
chr12,APPL2_2450,APPL2,3563,0.0,0.0,1.0,108.0,0.0,6.0,421.0,126.0,73.0,347.0,7.0,88.0,3.0,321.0,0.0,3.0,115.0,230.0,738.0,22.0,433.0,1312.0,31.0,228.0,1363.0,391.0
chr12,AQP2_2451,AQP2,4179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
chr12,AQP5_2452,AQP5,1825,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr12,AQP6_2453,AQP6,2654,155.0,40.0,107.0,73.0,93.0,114.0,100.0,178.0,127.0,114.0,76.0,68.0,117.0,138.0,62.0,134.0,85.0,108.0,183.0,203.0,112.0,196.0,183.0,206.0,151.0,262.0
chr12,ARF3_2454,ARF3,3537,439.0,42.0,440.0,1217.0,40.0,1117.0,2295.0,2331.0,724.0,1152.0,484.0,700.0,916.0,1191.0,0.0,240.0,1359.0,884.0,1508.0,955.0,589.0,2038.0,362.0,361.0,1729.0,1048.0
chr12,ARHGAP9_2455,ARHGAP9,2975,408.0,0.0,4.0,738.0,8.0,552.0,1501.0,1680.0,172.0,674.0,878.0,478.0,528.0,132.0,0.0,378.0,414.0,169.0,1017.0,194.0,592.0,1260.0,904.0,402.0,1502.0,429.0
chr12,ARHGDIB_2456,ARHGDIB,1216,2733.0,1899.0,907.0,15079.0,8187.0,7220.0,12680.0,14669.0,6703.0,21828.0,8052.0,11724.0,11655.0,11823.0,2557.0,10310.0,16665.0,7038.0,15074.0,5713.0,5986.0,12160.0,7307.0,4795.0,9997.0,6614.0
chr12,ARHGEF25_2457,ARHGEF25,2946,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
chr12,ARID2_2458,ARID2,8466,83.0,1102.0,324.0,293.0,0.0,351.0,660.0,604.0,387.0,90.0,0.0,270.0,654.0,697.0,0.0,632.0,203.0,42.0,318.0,506.0,158.0,275.0,72.0,167.0,182.0,649.0
chr12,ARL1_2459,ARL1,3210,26.0,462.0,0.0,138.0,534.0,192.0,300.0,290.0,0.0,481.0,122.0,374.0,564.0,607.0,0.0,497.0,273.0,214.0,533.0,2.0,255.0,409.0,256.0,221.0,291.0,511.0
chr12,ARL6IP4_2460,ARL6IP4,1456,646.0,1.0,644.0,1856.0,821.0,1056.0,2837.0,3142.0,985.0,2168.0,1357.0,2318.0,1063.0,1743.0,65.0,1462.0,2389.0,955.0,2161.0,1030.0,907.0,1831.0,2425.0,1640.0,2035.0,1967.0
chr12,ARNTL2_2461,ARNTL2,7444,0.0,0.0,10.0,60.0,0.0,80.0,50.0,153.0,142.0,5.0,2.0,670.0,234.0,121.0,0.0,0.0,233.0,55.0,0.0,196.0,0.0,82.0,380.0,0.0,0.0,15.0
chr12,ARPC3_2462,ARPC3,884,4251.0,1064.0,10.0,6319.0,7209.0,4904.0,8180.0,9694.0,4184.0,10897.0,3714.0,8711.0,5927.0,8235.0,979.0,4339.0,9289.0,4451.0,9205.0,7206.0,3248.0,6405.0,6739.0,3667.0,5565.0,6102.0
chr12,ART4_2463,ART4,1371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
chr12,ASB8_2464,ASB8,2613,668.0,1361.0,64.0,458.0,40.0,718.0,704.0,738.0,199.0,1002.0,483.0,411.0,469.0,541.0,27.0,40.0,950.0,37.0,872.0,335.0,408.0,606.0,619.0,430.0,1550.0,559.0
chr12,ASCL1_2465,ASCL1,2484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr12,ASCL4_2466,ASCL4,2260,2.0,0.0,0.0,3.0,0.0,23.0,24.0,18.0,0.0,20.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,36.0,65.0,0.0,22.0,58.0,0.0
chr12,ASIC1_2467,ASIC1,4736,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0
chr12,ASUN_2468,ASUN,2976,39.0,0.0,0.0,6.0,0.0,34.0,139.0,49.0,6.0,94.0,132.0,141.0,195.0,158.0,0.0,0.0,385.0,636.0,149.0,1.0,23.0,118.0,369.0,47.0,43.0,38.0
chr12,ATF1_2469,ATF1,2505,0.0,0.0,0.0,110.0,5.0,64.0,152.0,260.0,232.0,259.0,563.0,423.0,331.0,504.0,0.0,0.0,304.0,378.0,422.0,227.0,349.0,235.0,917.0,94.0,123.0,385.0
chr12,ATF7_2470,ATF7,7351,482.0,0.0,82.0,279.0,0.0,405.0,999.0,104.0,33.0,585.0,0.0,255.0,595.0,956.0,598.0,0.0,847.0,506.0,1078.0,873.0,211.0,2076.0,263.0,334.0,3455.0,1150.0
chr12,ATF7IP_2471,ATF7IP,4661,137.0,122.0,121.0,991.0,0.0,841.0,1549.0,590.0,1047.0,1286.0,0.0,94.0,843.0,2578.0,0.0,65.0,501.0,423.0,1713.0,717.0,1398.0,1579.0,2019.0,445.0,1119.0,853.0
chr12,ATN1_2472,ATN1,4419,64.0,106.0,96.0,86.0,82.0,264.0,514.0,407.0,34.0,83.0,55.0,136.0,236.0,191.0,0.0,70.0,73.0,199.0,316.0,143.0,239.0,504.0,117.0,335.0,691.0,599.0
chr12,ATP2A2_2473,ATP2A2,8314,17.0,1.0,49.0,91.0,4.0,418.0,471.0,375.0,348.0,134.0,157.0,297.0,394.0,434.0,7.0,12.0,445.0,223.0,201.0,667.0,216.0,304.0,797.0,570.0,450.0,1428.0
chr12,ATP2B1_2474,ATP2B1,6933,2370.0,2047.0,2356.0,5303.0,2753.0,2608.0,4151.0,3452.0,6029.0,6138.0,2961.0,5748.0,2887.0,13710.0,1202.0,1584.0,9273.0,4615.0,5192.0,10708.0,6027.0,3717.0,4679.0,3412.0,3956.0,2340.0
chr12,ATP5B_2475,ATP5B,1843,3175.0,2643.0,384.0,13022.0,15458.0,7639.0,16118.0,17923.0,12980.0,11869.0,12482.0,23528.0,7908.0,34776.0,17122.0,5577.0,40120.0,10334.0,12467.0,14004.0,13086.0,10078.0,14142.0,3266.0,9124.0,13280.0
chr12,ATP5G2_2476,ATP5G2,1164,1012.0,1910.0,865.0,3315.0,993.0,841.0,2346.0,3014.0,1563.0,3978.0,2830.0,3009.0,3622.0,1584.0,154.0,1930.0,4476.0,2068.0,3174.0,2271.0,1634.0,3241.0,2675.0,2316.0,3620.0,2137.0
chr12,ATP6V0A2_2477,ATP6V0A2,6541,476.0,134.0,516.0,430.0,454.0,657.0,1239.0,1335.0,324.0,531.0,166.0,805.0,282.0,2097.0,243.0,423.0,791.0,339.0,537.0,582.0,322.0,490.0,697.0,803.0,690.0,878.0
chr12,ATXN2_2478,ATXN2,4702,0.0,2.0,120.0,277.0,0.0,87.0,189.0,131.0,183.0,375.0,4.0,211.0,275.0,695.0,1.0,0.0,240.0,1.0,627.0,1.0,305.0,855.0,153.0,156.0,883.0,557.0
